MamaDo.mid

@393, Channel 1, Program change: Fingered Bs.
@10752, Channel 0, Note on:  D#5
@10752, Channel 0, Note on:  B4
@10752, Channel 0, Note on:  G#4
@10758, Channel 9, Note on:  C2
@10865, Channel 9, Note off: C2
@10942, Channel 0, Note off: D#5
@10951, Channel 0, Note off: G#4
@10951, Channel 0, Note off: B4
@10971, Channel 3, Note off: D#4
@11123, Channel 9, Note on:  D#2
@11136, Channel 0, Note on:  D#5
@11136, Channel 0, Note on:  G#4
@11136, Channel 0, Note on:  B4
@11137, Channel 9, Note on:  E2
@11156, Channel 1, Note off: G#1
@11176, Channel 9, Note off: D#2
@11214, Channel 9, Note off: E2
@11313, Channel 0, Note off: D#5
@11316, Channel 0, Note off: G#4
@11322, Channel 0, Note off: B4
@11371, Channel 9, Note on:  D#2
@11373, Channel 9, Note on:  C2
@11425, Channel 9, Note off: D#2
@11432, Channel 9, Note off: C2
@11520, Channel 0, Note on:  B4
@11520, Channel 0, Note on:  D#5
@11520, Channel 0, Note on:  G#4
@11526, Channel 9, Note on:  C2
@11623, Channel 9, Note off: C2
@11689, Channel 0, Note off: D#5
@11702, Channel 0, Note off: B4
@11708, Channel 0, Note off: G#4
@11903, Channel 9, Note on:  D#2
@11904, Channel 0, Note on:  D#5
@11904, Channel 0, Note on:  B4
@11904, Channel 0, Note on:  G#4
@11904, Channel 9, Note on:  E2
@11960, Channel 9, Note off: E2
@11961, Channel 9, Note off: D#2
@12080, Channel 0, Note off: D#5
@12089, Channel 0, Note off: G#4
@12090, Channel 0, Note off: B4
@12145, Channel 3, Note on:  F#4
@12288, Channel 0, Note on:  D5
@12288, Channel 0, Note on:  F4
@12288, Channel 0, Note on:  A#4
@12294, Channel 9, Note on:  C2
@12304, Channel 1, Note on:  A#1
@12314, Channel 3, Note on:  F4
@12317, Channel 3, Note off: F#4
@12401, Channel 9, Note off: C2
@12461, Channel 0, Note off: A#4
@12461, Channel 0, Note off: D5
@12467, Channel 0, Note off: F4
@12521, Channel 3, Note on:  D#4
@12542, Channel 3, Note off: F4
@12657, Channel 3, Note off: D#4
@12666, Channel 9, Note on:  D#2
@12672, Channel 0, Note on:  D5
@12672, Channel 0, Note on:  F4
@12672, Channel 0, Note on:  A#4
@12673, Channel 3, Note on:  F4
@12673, Channel 9, Note on:  E2
@12683, Channel 1, Note off: A#1
@12717, Channel 9, Note off: D#2
@12750, Channel 9, Note off: E2
@12845, Channel 0, Note off: D5
@12848, Channel 0, Note off: A#4
@12859, Channel 0, Note off: F4
@12904, Channel 9, Note on:  D#2
@12909, Channel 9, Note on:  C2
@12927, Channel 3, Note on:  D#4
@12945, Channel 3, Note off: F4
@12968, Channel 9, Note off: C2
@13022, Channel 9, Note off: D#2
@13056, Channel 0, Note on:  D5
@13056, Channel 0, Note on:  F4
@13056, Channel 0, Note on:  A#4
@13062, Channel 9, Note on:  C2
@13063, Channel 3, Note off: D#4
@13064, Channel 3, Note on:  F4
@13159, Channel 9, Note off: C2
@13211, Channel 0, Note off: D5
@13219, Channel 0, Note off: A#4
@13229, Channel 0, Note off: F4
@13440, Channel 0, Note on:  D5
@13440, Channel 0, Note on:  F4
@13440, Channel 0, Note on:  A#4
@13440, Channel 9, Note on:  E2
@13464, Channel 9, Note on:  D#2
@13496, Channel 9, Note off: E2
@13549, Channel 3, Note off: F4
@13608, Channel 0, Note off: A#4
@13610, Channel 0, Note off: D5
@13620, Channel 0, Note off: F4
@13633, Channel 9, Note off: D#2
@13686, Channel 1, Note on:  F1
@13824, Channel 0, Note on:  D5
@13824, Channel 0, Note on:  F4
@13824, Channel 0, Note on:  A#4
